Time (sec) - Plot 0,Amplitude - Plot 0
0,3.305
1,3.348
2,3.348
3,3.327
4,3.327
5,3.305
6,3.327
7,3.348
8,3.305
9,3.348
10,3.305
11,3.327
12,3.305
13,3.373
14,3.327
15,3.348
16,3.348
17,3.373
18,3.305
19,3.348
20,3.348
21,3.327
22,3.348
23,3.373
24,3.373
25,3.348
26,3.327
27,3.373
28,3.348
29,3.348
30,3.373
31,3.327
32,3.373
33,3.402
34,3.373
35,3.327
36,3.402
37,3.402
38,3.402
39,3.373
40,3.421
41,3.373
42,3.348
43,3.373
44,3.402
45,3.402
46,3.421
47,3.348
48,3.402
49,3.373
50,3.373
51,3.373
52,3.402
53,3.348
54,3.402
55,3.373
56,3.373
57,3.373
58,3.373
59,3.421
60,3.348
61,3.402
62,3.373
63,3.402
64,3.402
65,3.402
66,3.402
67,3.421
68,3.373
69,3.402
70,3.327
71,3.402
72,3.402
73,3.446
74,3.402
75,3.402
76,3.402
77,3.402
78,3.402
79,3.373
80,3.402
81,3.402
82,3.421
83,3.373
84,3.402
85,3.402
86,3.402
87,3.402
88,3.421
89,3.402
90,3.402
91,3.402
92,3.446
93,3.402
94,3.402
95,3.421
96,3.402
97,3.402
98,3.402
99,3.421
