Time (sec) - Plot 0,Amplitude - Plot 0
0,3.934
1,3.917
2,3.917
3,3.917
4,3.934
5,3.934
6,3.934
7,3.934
8,3.934
9,3.934
10,3.934
11,3.917
12,3.894
13,3.934
14,3.934
15,3.917
16,3.959
17,3.917
18,3.934
19,3.917
20,3.934
21,3.917
22,3.934
23,3.917
24,3.917
25,3.917
26,3.934
27,3.934
28,3.934
29,3.934
30,3.959
31,3.934
32,3.959
33,3.959
34,3.934
35,3.934
36,3.934
37,3.934
38,3.934
39,3.977
40,3.959
41,3.959
42,3.959
43,3.917
44,3.959
45,3.934
46,3.917
47,3.934
48,3.934
49,3.934
50,3.959
51,3.977
52,3.934
53,3.959
54,3.959
55,3.934
56,3.934
57,3.959
58,3.959
59,3.959
60,3.917
61,3.959
62,3.934
63,3.934
64,3.977
65,3.934
66,3.959
67,3.977
68,3.934
69,3.934
70,3.977
71,3.934
72,3.995
73,3.959
74,3.995
75,3.959
76,3.959
77,3.977
78,3.977
79,3.977
80,3.977
81,3.995
82,3.959
83,3.977
84,3.934
85,4.017
86,3.977
87,4.017
88,3.977
89,3.977
90,3.977
91,3.959
92,3.995
93,3.959
94,3.995
95,3.995
96,3.959
97,3.977
98,3.977
99,3.959
