Time (sec) - Plot 0,Amplitude - Plot 0
0,5.722
1,5.666
2,5.638
3,5.666
4,5.722
5,5.666
6,5.666
7,5.638
8,5.638
9,5.666
10,5.666
11,5.694
12,5.666
13,5.694
14,5.722
15,5.694
16,5.666
17,5.694
18,5.694
19,5.694
20,5.694
21,5.694
22,5.694
23,5.666
24,5.694
25,5.694
26,5.666
27,5.694
28,5.694
29,5.666
30,5.694
31,5.666
32,5.694
33,5.722
34,5.694
35,5.722
36,5.722
37,5.694
38,5.694
39,5.666
40,5.722
41,5.694
42,5.694
43,5.666
44,5.722
45,5.722
46,5.722
47,5.694
48,5.694
49,5.694
50,5.666
51,5.694
52,5.694
53,5.722
54,5.694
55,5.722
56,5.722
57,5.694
58,5.694
59,5.694
60,5.752
61,5.722
62,5.722
63,5.722
64,5.666
65,5.694
66,5.694
67,5.694
68,5.694
69,5.694
70,5.694
71,5.694
72,5.752
73,5.722
74,5.694
75,5.722
76,5.694
77,5.694
78,5.722
79,5.722
80,5.694
81,5.722
82,5.722
83,5.694
84,5.722
85,5.722
86,5.694
87,5.722
88,5.752
89,5.752
90,5.722
91,5.752
92,5.722
93,5.722
94,5.722
95,5.722
96,5.722
97,5.722
98,5.722
99,5.722
