Time (sec) - Plot 0,Amplitude - Plot 0
0,5.722
1,5.694
2,5.666
3,5.694
4,5.694
5,5.752
6,5.722
7,5.722
8,5.722
9,5.694
10,5.694
11,5.694
12,5.752
13,5.694
14,5.752
15,5.694
16,5.694
17,5.694
18,5.694
19,5.722
20,5.722
21,5.694
22,5.722
23,5.722
24,5.722
25,5.722
26,5.722
27,5.722
28,5.694
29,5.694
30,5.722
31,5.694
32,5.722
33,5.752
34,5.722
35,5.752
36,5.694
37,5.694
38,5.722
39,5.694
40,5.694
41,5.722
42,5.694
43,5.694
44,5.694
45,5.722
46,5.694
47,5.694
48,5.722
49,5.722
50,5.694
51,5.694
52,5.666
53,5.666
54,5.694
55,5.694
56,5.694
57,5.722
58,5.722
59,5.694
60,5.694
61,5.722
62,5.722
63,5.752
64,5.694
65,5.666
66,5.722
67,5.694
68,5.694
69,5.722
70,5.694
71,5.722
72,5.722
73,5.722
74,5.694
75,5.694
76,5.694
77,5.722
78,5.722
79,5.694
80,5.666
81,5.694
82,5.694
83,5.694
84,5.694
85,5.722
86,5.694
87,5.722
88,5.722
89,5.722
90,5.722
91,5.694
92,5.694
93,5.752
94,5.722
95,5.722
96,5.694
97,5.666
98,5.694
99,5.722
100,5.722
