SET_PORT:,COM6,02/12/2024 16:20:02
SET_BAUD:,9600,02/12/2024 16:20:13
SERIAL:,1,02/12/2024 16:20:39
SF:,1.00,02/12/2024 16:20:51
SF:,1.50,02/12/2024 16:21:07
SF:,1.00,02/12/2024 16:21:14
SELECT_CH:,1,02/12/2024 16:21:34
SOURCE_VOLT:,12,02/12/2024 16:21:37
SOURCE_CURR:,0.5500,02/12/2024 16:21:44
SOURCE_CURR:,0.6000,02/12/2024 16:21:44
SOURCE_CURR:,0.6500,02/12/2024 16:21:45
SOURCE_CURR:,0.6500,02/12/2024 16:21:45
SOURCE_CURR:,0.7000,02/12/2024 16:21:45
SOURCE_CURR:,0.7500,02/12/2024 16:21:45
SOURCE_CURR:,0.7500,02/12/2024 16:21:45
SOURCE_CURR:,0.8000,02/12/2024 16:21:45
SOURCE_CURR:,0.8500,02/12/2024 16:21:45
SOURCE_CURR:,0.9000,02/12/2024 16:21:45
SOURCE_CURR:,0.9000,02/12/2024 16:21:45
SOURCE_CURR:,0.9500,02/12/2024 16:21:45
SOURCE_CURR:,1.0000,02/12/2024 16:21:45
OUT_CURR:,0.5000,02/12/2024 16:21:53
DC_OUTPUT:,1,02/12/2024 16:21:58
DC_OUTPUT:,0,02/12/2024 16:22:03
DC_OUTPUT:,1,02/12/2024 16:22:20
DC_OUTPUT:,0,02/12/2024 16:22:21
RAMP_ENABLE:,1,02/12/2024 16:22:23
OUT_CURR:,0.1000,02/12/2024 16:22:23
OUT_CURR:,0.2000,02/12/2024 16:22:24
OUT_CURR:,0.3000,02/12/2024 16:22:24
OUT_CURR:,0.4000,02/12/2024 16:22:25
DC_OUTPUT:,1,02/12/2024 16:22:27
DC_OUTPUT:,0,02/12/2024 16:22:30
RAMP_ENABLE:,0,02/12/2024 16:22:30
SELECT_CH:,0,02/12/2024 16:24:34
SELECT_CH:,1,02/12/2024 16:24:35
SOURCE_VOLT:,0,02/12/2024 16:24:56
SOURCE_VOLT:,12,02/12/2024 16:24:57
OUT_CURR:,0.5300,02/12/2024 16:25:14
DC_OUTPUT:,1,02/12/2024 16:25:18
DC_OUTPUT:,0,02/12/2024 16:25:25
DC_OUTPUT:,1,02/12/2024 16:25:47
DC_OUTPUT:,0,02/12/2024 16:25:48
DC_OUTPUT:,1,02/12/2024 16:26:23
DC_OUTPUT:,0,02/12/2024 16:26:25
DC_OUTPUT:,1,02/12/2024 16:26:26
RAMP_ENABLE:,1,02/12/2024 16:26:27
OUT_CURR:,0.1000,02/12/2024 16:26:27
OUT_CURR:,0.2000,02/12/2024 16:26:28
OUT_CURR:,0.3000,02/12/2024 16:26:29
OUT_CURR:,0.4000,02/12/2024 16:26:29
OUT_CURR:,0.5000,02/12/2024 16:26:30
OUT_CURR:,0.6000,02/12/2024 16:26:31
OUT_CURR:,0.7000,02/12/2024 16:26:32
DC_OUTPUT:,0,02/12/2024 16:26:57
RAMP_ENABLE:,0,02/12/2024 16:26:59
SERIAL:,0,02/12/2024 16:36:53
SERIAL:,1,02/12/2024 16:36:54
DC_OUTPUT:,1,02/12/2024 16:37:02
OUT_CURR:,0.7000,02/12/2024 16:37:07
DC_OUTPUT:,0,02/12/2024 16:37:09
DC_OUTPUT:,1,02/12/2024 16:37:09
OUT_CURR:,0.7000,02/12/2024 16:37:45
OUT_CURR:,0.7000,02/12/2024 16:37:47
DC_OUTPUT:,0,02/12/2024 16:37:49
DC_OUTPUT:,1,02/12/2024 16:37:49
RAMP_ENABLE:,1,02/12/2024 16:37:54
OUT_CURR:,0.1000,02/12/2024 16:37:55
OUT_CURR:,0.2000,02/12/2024 16:38:38
OUT_CURR:,0.3000,02/12/2024 16:38:38
OUT_CURR:,0.4000,02/12/2024 16:38:39
OUT_CURR:,0.5000,02/12/2024 16:38:44
OUT_CURR:,0.6000,02/12/2024 16:38:44
OUT_CURR:,0.7000,02/12/2024 16:38:47
OUT_CURR:,0.8000,02/12/2024 16:38:49
READ_ALL:,1,02/12/2024 16:38:52
TIMER:,1,02/12/2024 16:38:52
CLEAR_BUFF:,1,02/12/2024 16:38:54
OUT_CURR:,0.9000,02/12/2024 16:39:04
OUT_CURR:,1.0000,02/12/2024 16:39:11
OUT_CURR:,0.9000,02/12/2024 16:39:11
OUT_CURR:,0.8000,02/12/2024 16:39:12
OUT_CURR:,0.7000,02/12/2024 16:39:13
OUT_CURR:,0.6000,02/12/2024 16:39:15
OUT_CURR:,0.5000,02/12/2024 16:39:18
OUT_CURR:,0.4000,02/12/2024 16:39:19
OUT_CURR:,0.3000,02/12/2024 16:39:21
OUT_CURR:,0.2000,02/12/2024 16:39:22
OUT_CURR:,0.1000,02/12/2024 16:39:37
OUT_CURR:,0.0000,02/12/2024 16:39:39
